Company,Sector,Stage,Amount,Location,About,Funding Year
Awign Enterprises,Workforce Solutions,Mid Stage,4000000.0,Bengaluru,It supplies workforce to the economy,2019
Tapchief,Online Consulting,Other Stages,1500000.0,Bengaluru,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,2019
Ejohri,Jewellery,Other Stages,1000000.0,Mumbai,Omnichannel marketplace for gems and jewellery,2019
Ninjacart,B2B Supply Chain,Mid Stage,0.0,Bengaluru,It connects producers of food directly to retailers restuarants and service providers,2019
Wishadish,Food & Tech,Mid Stage,6000000.0,New Delhi,Provides management solution for restaurants,2019
Lawyered,Legal Tech,Early Stage,100000.0,New Delhi,It helps to connect to legal advise online,2019
Nivesh.Com,Mutual Funds,Early Stage,600000.0,Noida,The platform simplifies the process of investment,2019
Zebu,Cybersecurity,Early Stage,4000000.0,London,Platform uses encryption technology to allow businesses to safely store files invoices and schedules,2019
Cardekho,Automobile,Late Stage,70000000.0,Jaipur,Enables people to buy and sell newold cars,2019
Indyfint,Virtual Banking,Mid Stage,2100000.0,Bengaluru,It helps lenders to directly provide shortterm loans to merchants employees and students,2019
Froogal,Marketing & Customer Loyalty,Other Stages,1000000.0,Hyderabad,A cloud based Customer Loyalty  Engagement Platform,2019
Infra.Market,Infratech,Mid Stage,20000000.0,Mumbai,It connects client requirements to their supply chain infrastructure for ease of ordering tracking and manufacturing,2019
Gomechanic,Automobile & Technology,Mid Stage,5000000.0,New Delhi,Find automobile repair and maintenance service providers,2019
PadCare Labs,Hygiene Management,Early Stage,36382.05,Pune,Converting bio-hazardous waste to harmless waste,2020
NCOME,Escrow,Early Stage,4850.94,New Delhi,Escrow-as-a-service platform,2020
Metvy,Networking Platform,Other Stages,36382.05,Gurugram,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,2020
Slurrp Farm,Food & Bevarages,Mid Stage,24254.7,Gurugram,Slurrp Farm is a children health food brand.,2020
MasterG,Fashion Startup,Mid Stage,36382.05,New Delhi,MasterG is a design and skill development organisation.,2020
FoodyBuddy,Food Industry,Other Stages,7276.41,Belgaum,FoodyBuddy is a online food delivery portal,2020
OurEye.ai,Virtual Auditing Startup,Mid Stage,1455.28,Bengaluru,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",2020
Awign Enterprises,Work Fulfillment,Mid Stage,6063.67,Bengaluru,Operations and manpower outsourcing startup,2020
Glance,Ai Startup,Early Stage,1758465.52,Bengaluru,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,2020
VerSe Innovation,Telecommunication,Early Stage,1212734.84,Bengaluru,Owner of Dailyhunt App and I-Pay,2020
Callify.ai,Tech Startup,Early Stage,6791.32,Mumbai,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,2020
Sreyas Holistic Remedies,Medtech,Early Stage,12127.35,Hyderabad,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,2020
Fleeca India,Tyre Management,Early Stage,36382.05,Jaipur,FLEECA is a Tyre Care Provider company.,2020
Exotel,Cloud Company,Mid Stage,60636.74,Bengaluru,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,2020
PagarBook,Software Company,Mid Stage,181910.23,Bengaluru,"Staff's Salary, Work & Attendance Management Application",2020
PointOne Capital,Venture Capitalist,Other Stages,36382.05,Bengaluru,Pre-seed/Seed focussed VC investor,2020
Ayana,Renewable Player,Mid Stage,4729665.88,Bengaluru,Ayana Renewable Power is an Indian renewable energy platform,2020
Infinite Uptime,Iot Startup,Mid Stage,61849.48,Pune,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,2020
HappyLocate,Saas Startup,Other Stages,6063.67,Bengaluru,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",2020
The ePlane,Aero Company,Early Stage,36382.05,Chennai,Transforming the mobility landscape using aerial transport.,2020
TagMango,Marketing Company,Early Stage,8489.14,Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2020
The New Shop,Retail Startup,Early Stage,6063.67,New Delhi,The New Shop is a chain of high speed retail stores,2020
BHIVE Investech,Co-Working Startup,Early Stage,12127.35,Bengaluru,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2020
ZipLoan,Finance Company,Mid Stage,36382.05,New Delhi,ZipLoan is a online lending platform,2020
Artivatic.ai,Tech Company,Mid Stage,36382.05,Bengaluru,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",2020
Prescinto,Solar Monitoring Company,Early Stage,36382.05,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,2020
Bolo Indya,Video Sharing Platform,Early Stage,4850.94,Gurugram,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",2020
Bombay Play,Gaming Startup,Early Stage,12127.35,Bengaluru,Bombay Play is a Card and Toy Company Making games for India.,2020
KIKO TV,Video Streaming Platform,Early Stage,36382.05,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,2020
Atomberg Technologies,Consumer Appliances,Mid Stage,109146.14,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",2020
Ethereum Push Notification Service,Blockchain Startup,Early Stage,9095.51,Mumbai,EPNS is a decentralized notification protocol,2020
Mihup,Conversational Ai Platform,Mid Stage,18191.02,Kolkata,Intelligence-based personal mobile assistant app,2020
Infra.Market,Real Estate,Mid Stage,242546.97,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2020
Let's Dive,Saas Platform,Early Stage,20616.49,Bengaluru,A platform for remote employee engagement and building team culture,2020
Signzy,Ai Platform,Early Stage,36382.05,Bengaluru,Signzy are creating 'building blocks for a Digital Trust system.,2020
Raskik,Fusion Beverages,Other Stages,12127.35,Gurugram,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020
Pravasirojgar,Job Portal,Other Stages,400202.5,Mumbai,Initiative for blue-collar job workers,2020
Country Delight,Dairy Startup,Mid Stage,303183.71,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020
Quintype,Content Management,Mid Stage,42445.72,Bengaluru,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020
Astrogate Labs,Spacetech,Mid Stage,36382.05,Bengaluru,Astrogate Labs provides high-quality products related to space infrastructure.,2020
Shipsy,Ai Company,Mid Stage,72764.09,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020
LightSpeedAI,Photonics Startup,Other Stages,36382.05,Bengaluru,Developer of an optoelectronic processor designed to accelerate AI computations.,2020
