Company,Location,Sector,About,Amount,Stage,Funding Year
Supertails,Bengaluru,Pet Care,Supertails is building a digital pet care platform which offers expert led healthcare services and products,2600000.0,Pre-series A,2021
Skillovilla,Bengaluru,Edtech,Mission to support young graduates in enhancing their learnings and transform them into big earnings,300000.0,Seed,2021
Cancer Clinics,Telugana,Healthcare,Cancer Helpline is a source of information and support helping with all the things that people affected by cancer want and need,1500000.0,Pre-series A,2021
Velocity,Bengaluru,Fintech,Velocity provides revenuebasedfinancing to online businesses It aims to build the future of banking and financial services for new age businesses in India,1300000.0,Seed,2021
Happy Jars,New Delhi,Food & Beverages,Manufacture and retail a delicious range of allnatural nut butters made without oil sugar or preservatives,400000.0,Seed,2021
Inshorts,Noida,Media,Inshorts is a news aggregator application that collects and summarizes news based on user behavior and preferences,40000000.0,,2021
Extraaedge,Pune,Martech,Data Science powered  Admission  Marketing CRM Automation for Education Enrolments,1000000.0,Pre-series A,2021
Zotalabs,Pune,Tech Startup,Zotalabs gives the power of Emerging Technology to your digital automation with our easy to use APIs,1250000.0,Seed,2021
Voiro,Bengaluru,Advertisement,Voiro is the first allinone revenue management suite exclusively for adled digital publishers across media,1800000.0,Pre-series A,2021
Dream Sports,Mumbai,Gaming,Dream Sports is Indias leading sports technology company with brands such as Dream11 FanCode DreamX and DreamSetGo in its portfolio,400000000.0,,2021
Safex Chemicals,New Delhi,Agritech,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry,50000000.0,,2021
Instoried,Bengaluru,Content Creation,Instoried is an augmented writing platform which improves customer interest and engagement,0.0,,2021
Rupifi,Bengaluru,Fintech,Rupifi operates a softwareasaservice SaaS firm focussed on financial products,4100000.0,Pre-series A,2021
Moneyboxx,Mumbai,Fintech,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises,3000000.0,Debt,2021
Citymall,Gurugram,E-Commerce,CityMall is a social ecommerce platform that sells lifestyle and curated products via peertopeer referrals on WhatsApp,11000000.0,Series A,2021
Janani,Bengaluru,Heathcare,Jananiai is a fertility care provider,1000000.0,Seed,2021
Reshamandi,Bengaluru,Agritech,Indias 1st award winning technology led digital ecosystem for Silk,1700000.0,Seed,2021
Bombay Shaving Company,New Delhi,Lifestyle,Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care beard care and skincare products,2000000.0,,2021
Dotpe,Gurugram,Fintech,DotPe is a technology startup providing a commerce and payments platform to offline enterprise businesses,27000000.0,Series A,2021
Homingos,Bengaluru,Augmented Reality,Homingos is an Augmented reality ARbased social networking platform,0.0,,2021
Anar Business Community,Mumbai,Tech Startup,Anar is a communications and networking platform for businesses around the world,0.0,,2021
Five Star Finance,Chennai,Fintech,FiveStar is a Registered Non Banking Finance Company NBFC with Reserve Bank of India RBI,234000000.0,,2021
Settlrs,Bengaluru,Rental Space,A B2B rental services company for furniture home appliances electronic and IT infrastructure,0.0,Pre-series A,2021
Byju'S,Bengaluru,Edtech,BYJUS is an educational technology company that develops personalized learning programs for K12 students,460000000.0,Series F,2021
Annapurna Finance,Bhubaneswar,Fintech,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women,30000000.0,,2021
Healthplix,Bengaluru,Healthcare,HealthPlix is a healthtech startup,13500000.0,Series B,2021
Masai School,Bengaluru,Edtech,Masai School is a joboriented software training services,5000000.0,Series A,2021
Bewakoof,Mumbai,D2C Fashion,Society perceives Bewakoof as stupidBut what does society call BewakoofOften its anything different or anything thats done differently,4000000.0,,2021
Indialends,New Delhi,Fintech,IndiaLends is a digital lending and borrowing marketplace,5100000.0,,2021
Stelis Biopharma,Bengaluru,Biotechnology,Stelis Biopharma is a vertically integrated biopharmaceutical company,195000000.0,Series B,2021
Tilt,Bengaluru,Bike Rental,A bikeshare for Indian campuses,125000.0,,2021
Neodove,Jaipur,Ai Startup,Neodove is an AIpowered end to end techenabled customer communication and reporting solution,15000000.0,Seed,2021
Zaara Biotech,Kottayam,Biotechnology,Indias First Algalseaweed Biotechnology Students Startup in collaboration with ICAR Central Institute of fisheries and Technology,10000000.0,,2021
Kreditbee,Bengaluru,Fintech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances,75000000.0,Seed,2021
True Balance,Gurugram,Fintech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products,10000000.0,Debt,2021
Muvin,Bengaluru,Fintech,Youth Neobank enabling financial solutions for the teenagers and young people,1000000.0,Seed,2021
Purplle,Mumbai,Beauty Products,Purplle is an online store selling cosmetics fragrances skin and hair care products,45000000.0,,2021
Flobiz,Bengaluru,Tech Startup,Indias first neobusiness platform,10000000.0,Series A,2021
Jeevam Health,New Delhi,Health Care,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India,1500000.0,Pre-seed,2021
Newlink Group,Beijing,Tech Startup,Developer of an energy management and transportation digital platform designed to streamline the energy supply chain,200000000.0,,2021
Oziva,Mumbai,Heathcare,OZiva is a plantbased Clean Nutrition Brand,12000000.0,Series B,2021
Blive,Panaji,Tourism,B Live is an electric vehicle tourism startup,1000000.0,Pre-series A,2021
Nazara Technologies,Mumbai,Gaming,Nazara Technologies develops mobile content such as games themes wallpapers and multimedia,30000000.0,,2021
Euler Motors,New Delhi,Automotive,Electric Light Commercial Vehicle,2600000.0,Series A,2021
Pixxel,Bengaluru,Spacetech,Pixxel is a Bengalurubased space technology startup building a constellation of advanced earth imaging small satellites,7300000.0,Seed,2021
Prescinto,Gujarat,Solar,Prescinto is the brain of a solar plant delivering Actionable Intelligence to Increase Generation,3500000.0,Seed,2021
Myglamm,Mumbai,Beauty Products,MyGlamm is a directtoconsumer brand of award winning European beauty products,20000000.0,Series C,2021
Chirrup,Bengaluru,Gaming,Video integrated socialgaming platform,300000.0,Pre-seed,2021
Policybazaar,Gurugram,Insurance,PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products,75000000.0,,2021
Livve Homes,Bengaluru,Rental Space,Indias homegrown online portal championing the region for a brighter more exciting livvable future Right from simply connecting owners and tenants and to managing everything in between,5000000.0,,2021
Juicy Chemistry,Coimbatore,Healthcare,Juicy Chemistry operates as an eponymous consumer brand,6300000.0,Series A,2021
Svasti Microfinance,Mumbai,Fintech,Svasti works with urban slum dwellers women microentrepreneurs,4000000.0,,2021
Nexprt,New Delhi,Consulting,Nexprt Solutions offers endtoend and 100 customized import solutions,2000000.0,,2021
Wysa,Bengaluru,Ai Startup,Wysa is an AI conversational agent that has been shown to help improve mental health,0.0,,2021
Ankur Capital,Mumbai,Fintech,Early stage venture capital fund focused on opportunities created by rising aspirations  digital access for next billion Indians,40000000.0,,2021
